file_size	file_name	download_status
856.55	135) Ethics_JG Class 02 A - 141223.mp4	NOT_UPLOADED
352.82	134) Ethics_JG Class 02 - 121223.mp4	NOT_UPLOADED
399.26	133) Ethics Class 17 - 101223.mp4	NOT_UPLOADED
1081.8	132) Ethics Class 01 - Jatin Gupta - 091223.mp4	NOT_UPLOADED
844.32	131) Ethics Class 16 - 271123.mp4	NOT_UPLOADED
851.66	130) Ethics Class 15 - 261123.mp4	NOT_UPLOADED
714.62	129) Ethics Class 14 - 211123.mp4	NOT_UPLOADED
893.68	128) Ethics Class 13 - 201123.mp4	NOT_UPLOADED
880.55	127) Ethics Class 12 - 091123.mp4	NOT_UPLOADED
838.75	126) Ethics Class 11 - 081123.mp4	NOT_UPLOADED
644.65	125) Ethics Class 10 - 311023.mp4	NOT_UPLOADED
807.4	124) Ethics Class 09 - 301023.mp4	NOT_UPLOADED
857.36	123) Ethics Class 08 - 291023.mp4	NOT_UPLOADED
746.91	122) Ethics Class 07 - 191023.mp4	NOT_UPLOADED
717.47	121) Ethics Class 06 - 181023.mp4	NOT_UPLOADED
893.4	120) Ethics Class 05 - 161023.mp4	NOT_UPLOADED
963.0	119) Ethics Class 04 - 141023.mp4	NOT_UPLOADED
893.96	118) Ethics Class 03 - 121023.mp4	NOT_UPLOADED
731.58	117) Ethics Class 02 - 111023.mp4	NOT_UPLOADED
921.49	116) Ethics Class 01 - 091023.mp4	NOT_UPLOADED
512.6	115) Essay Class 05 - 021223.mp4	NOT_UPLOADED
506.22	114) Essay Class 04 - 251123.mp4	NOT_UPLOADED
711.85	113) Essay Class 03 - 181123.mp4	NOT_UPLOADED
847.83	112) Essay Class 02 - 041123.mp4	NOT_UPLOADED
812.82	111) Essay Class 01 - 281023.mp4	NOT_UPLOADED
1067.67	110) Economics Class 46 - 110923.mp4	NOT_UPLOADED
1055.45	109) Economics Class 45 - 070923.mp4	NOT_UPLOADED
1054.7	108) Economics Class 44 - 060923.mp4	NOT_UPLOADED
1111.43	107) Economics Class 43 - 260823.mp4	NOT_UPLOADED
1073.51	106) Economics Class 42 - 250823.mp4	NOT_UPLOADED
1110.25	105) Economics Class 41 - 140823.mp4	NOT_UPLOADED
1080.21	104) Economics Class 40 - 120823.mp4	NOT_UPLOADED
1077.25	103) Economics Class 39 - 060823.mp4	NOT_UPLOADED
1071.52	102) Economics Class 38 - 050823.mp4	NOT_UPLOADED
1045.59	101) Economics Class 37 - 030823.mp4	NOT_UPLOADED
1108.35	100) Economics Class 36 - 290723.mp4	NOT_UPLOADED
1066.01	099) Economics Class 35 - 260723.mp4	NOT_UPLOADED
1071.68	098) Economics Class 34 - 250723.mp4	NOT_UPLOADED
1084.83	097) Economics Class 33 - 230723.mp4	NOT_UPLOADED
1122.35	096) Economics Class 32 - 220723.mp4	NOT_UPLOADED
1077.15	095) Economics Class 31 - 190723.mp4	NOT_UPLOADED
1105.04	094) Economics Class 30 - 250623.mp4	NOT_UPLOADED
1060.02	093) Economics Class 29 - 240623.mp4	NOT_UPLOADED
1035.05	092) Economics Class 28 - 230623.mp4	NOT_UPLOADED
1070.53	091) Economics Class 27 - 220623.mp4	NOT_UPLOADED
1048.92	090) Economics Class 26 - 210623.mp4	NOT_UPLOADED
1034.41	089) Economics Class 25 - 200623.mp4	NOT_UPLOADED
1038.49	088) Economics_RS Class 24 - 170623.mp4	NOT_UPLOADED
1071.84	087) Economics_RS Class 23 - 160623.mp4	NOT_UPLOADED
1085.7	086) Economics_RS Class 22 - 150623.mp4	NOT_UPLOADED
1089.4	085) Economics_RS Class 21 - 300523.mp4	NOT_UPLOADED
1030.01	084) Economics_RS Class 20 - 280523.mp4	NOT_UPLOADED
1040.21	083) Economics_RS Class 19 - 270523.mp4	NOT_UPLOADED
1077.31	082) Economics_RS Class 18 - 250523.mp4	NOT_UPLOADED
1065.18	081) Economics_RS Class 17 - 240523.mp4	NOT_UPLOADED
1113.05	080) Economics Class 16 - 200523.mp4	NOT_UPLOADED
1068.79	079) Economics Class 15 - 190523.mp4	NOT_UPLOADED
1039.87	078) Economics Class 14 - 180523.mp4	NOT_UPLOADED
1101.78	077) Economics_RS Class 13 - 270423.mp4	NOT_UPLOADED
1043.48	076) Economics_RS Class 12 - 260423.mp4	NOT_UPLOADED
1091.97	075) Economics_RS Class 11 - 250423.mp4	NOT_UPLOADED
1080.27	074) Economics_RS Class 10 - 240423.mp4	NOT_UPLOADED
1072.42	073) Economics_RS Class 09 - 210423.mp4	NOT_UPLOADED
1074.9	072) Economics_RS Class 08 - 200423.mp4	NOT_UPLOADED
1082.34	071) Economics_RS Class 07 - 170423.mp4	NOT_UPLOADED
1070.34	070) Economics_RS Class 06 - 160423.mp4	NOT_UPLOADED
1047.78	069) Economics_RS Class 05 - 150423.mp4	NOT_UPLOADED
1091.66	068) Economics_RS Class 04 - 280323.mp4	NOT_UPLOADED
1066.0	067) Economics_RS Class 03 - 220323.mp4	NOT_UPLOADED
1069.85	066) Economics_RS Class 02 - 210323.mp4	NOT_UPLOADED
1093.09	065) Economics_RS Class 01 - 200323.mp4	NOT_UPLOADED
1424.23	064) Environment Class 20 - 070124.mp4	NOT_UPLOADED
1267.83	063) Environment Class 19 - 070124.mp4	NOT_UPLOADED
887.12	062) Environment Class 18 - 060124.mp4	NOT_UPLOADED
859.28	061) Environment Class 17 - 060124.mp4	NOT_UPLOADED
803.84	060) Environment Class 16 - 050124.mp4	NOT_UPLOADED
899.98	059) Environment Class 15 - 050124.mp4	NOT_UPLOADED
851.27	058) Environment Class 14 - 040124.mp4	NOT_UPLOADED
796.88	057) Environment Class 13 - 030124.mp4	NOT_UPLOADED
725.71	056) Environment Class 12 - 020124.mp4	NOT_UPLOADED
1045.26	055) New Environment Class 11 - 301223.mp4	NOT_UPLOADED
777.19	054) New Environment Class 10 - 291223.mp4	NOT_UPLOADED
1028.07	053) New Environment Class 09 - 271223.mp4	NOT_UPLOADED
1069.94	052) New Environment Class 08 - 221223.mp4	NOT_UPLOADED
1072.43	051) New Environment Class 07 - 211223.mp4	NOT_UPLOADED
910.18	050) New Environment Class 06 - 161223.mp4	NOT_UPLOADED
973.58	049) New Environment Class 05 - 101123.mp4	NOT_UPLOADED
774.63	048) New Environment Class 04 - 211023.mp4	NOT_UPLOADED
1014.77	047) New Environment Class 03 - 151023.mp4	NOT_UPLOADED
1029.34	046) New Environment Class 02 - 101023.mp4	NOT_UPLOADED
1014.14	045) New Environment Class 01 - 041023.mp4	NOT_UPLOADED
1031.66	044) Environment Class 16 - 140823.mp4	NOT_UPLOADED
